Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
05/03/1998,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
06/03/1998,,,,,,,,,,,,,,,,0,0,0,10.05,,,,,,,
07/03/1998,,,,,,,,,,,,,,,,0,9.2,0,10,,,,,,,
08/03/1998,,,,,,,,,,,,,,,,0,11.4,0,13.85,,,,,,,
09/03/1998,,,,,,,,,,,,,,,,0,11.4,0,12.85,,,,,,,
10/03/1998,,,,,,,,,,,,,,,,0,7.95,0,6.5,,,,,,,
11/03/1998,,,,,,,,,,,,,,,,0,6.15,0,1.85,,,,,,,
12/03/1998,,,,,,,,,,,,,,,,0,4.95,0,6.8,,,,,,,
13/03/1998,,,,,,,,,,,,,,,,0,5.4,0,9.05,,,,,,,
14/03/1998,,,,,,,,,,,,,,,,0,8.95,0,8.05,,,,,,,
15/03/1998,,,,,,,,,,,,,,,,0,9.7,0,10.55,,,,,,,
16/03/1998,,,,,,,,,,,,,,,,0,12,0,10.6,,,,,,,
17/03/1998,,,,,,,,,,,,,,,,0,11.85,0,11.3,,,,,,,
18/03/1998,,,,,,,,,,,,,,,,0,12.1,0,12.9,,,,,,,
19/03/1998,,,,,,,,,,,,,,,,0,12.9,0,11.05,,,,,,,
20/03/1998,,,,,,,,,,,,,,,,0,10.25,0,10.15,,,,,,,
21/03/1998,,,,,,,,,,,,,,,,0,9.8,0,10.85,,,,,,,
22/03/1998,,,,,,,,,,,,,,,,0,7.25,0,6.15,,,,,,,
23/03/1998,,,,,,,,,,,,,,,,0,5.25,0,4.95,,,,,,,
24/03/1998,,,,,,,,,,,,,,,,0,2.35,0,5.8,,,,,,,
25/03/1998,,,,,,,,,,,,,,,,0,1.65,0,6.95,,,,,,,
26/03/1998,,,,,,,,,,,,,,,,0,4.05,0,6.4,,,,,,,
27/03/1998,,,,,,,,,,,,,,,,0,7.8,0,8.35,,,,,,,
28/03/1998,,,,,,,,,,,,,,,,0,11.25,0,10.75,,,,,,,
29/03/1998,,,,,,,,,,,,,,,,0,13.5,0,11.8,,,,,,,
30/03/1998,,,,,,,,,,,,,,,,0,13.3,0,12.5,,,,,,,
31/03/1998,,,,,,,,,,,,,,,,0,14.1,0,13.5,,,,,,,
01/04/1998,,,,,,,,,,,,,,,,0,13.6,0,12.9,,,,,,,
02/04/1998,,,,,,,,,,,,,,,,0,12.35,0,13,,,,,,,
03/04/1998,,,,,,,,,,,,,,,,0,11.85,0,14.6,,,,,,,
04/04/1998,,,,,,,,,,,,,,,,0,12.65,0,16.25,,,,,,,
05/04/1998,,,,,,,,,,,,,,,,0,13.15,0,15.5,,,,,,,
06/04/1998,,,,,,,,,,,,,,,,0,12.2,0,12.3,,,,,,,
07/04/1998,,,,,,,,,,,,,,,,0,10.1,0,12.15,,,,,,,
08/04/1998,,,,,,,,,,,,,,,,0,10.75,0,13.5,,,,,,,
09/04/1998,,,,,,,,,,,,,,,,0,10.35,0,12.65,,,,,,,
10/04/1998,,,,,,,,,,,,,,,,0,9.2,0,10.15,,,,,,,
11/04/1998,,,,,,,,,,,,,,,,0,9.05,0,11.15,,,,,,,
12/04/1998,,,,,,,,,,,,,,,,0,7.6,0,10.85,,,,,,,
13/04/1998,,,,,,,,,,,,,,,,0,6.05,0,11.75,,,,,,,
14/04/1998,,,,,,,,,,,,,,,,0,5.2,0,10.05,,,,,,,
15/04/1998,,,,,,,,,,,,,,,,0,6.9,0,9.55,,,,,,,
16/04/1998,,,,,,,,,,,,,,,,0,10.05,0,12.05,,,,,,,
17/04/1998,,,,,,,,,,,,,,,,0,8,0,11.6,,,,,,,
18/04/1998,,,,,,,,,,,,,,,,0,8.85,0,10.15,,,,,,,
19/04/1998,,,,,,,,,,,,,,,,0,8.55,0,10,,,,,,,
20/04/1998,,,,,,,,,,,,,,,,0,8.95,0,12.4,,,,,,,
21/04/1998,,,,,,,,,,,,,,,,0,10,0,12.15,,,,,,,
22/04/1998,,,,,,,,,,,,,,,,0,11.25,0,14.05,,,,,,,
23/04/1998,,,,,,,,,,,,,,,,0,14.6,0,15.6,,,,,,,
24/04/1998,,,,,,,,,,,,,,,,0,15.05,0,15.7,,,,,,,
25/04/1998,,,,,,,,,,,,,,,,0,16.15,0,16.4,,,,,,,
26/04/1998,,,,,,,,,,,,,,,,0,16.5,0,16.45,,,,,,,
27/04/1998,,,,,,,,,,,,,,,,0,15.55,0,14.85,,,,,,,
28/04/1998,,,,,,,,,,,,,,,,0,12.05,0,13.7,,,,,,,
29/04/1998,,,,,,,,,,,,,,,,0,9.5,0,14,,,,,,,
30/04/1998,,,,,,,,,,,,,,,,0,10.6,0,10.35,,,,,,,
01/05/1998,,,,,,,,,,,,,,,,0,11,0,13.3,,,,,,,
02/05/1998,,,,,,,,,,,,,,,,0,11.1,0,13.7,,,,,,,
03/05/1998,,,,,,,,,,,,,,,,0,12.1,0,14.85,,,,,,,
04/05/1998,,,,,,,,,,,,,,,,0,14.1,0,15.65,,,,,,,
05/05/1998,,,,,,,,,,,,,,,,0,13.7,0,17.65,,,,,,,
06/05/1998,,,,,,,,,,,,,,,,0,13.9,0,17.05,,,,,,,
07/05/1998,,,,,,,,,,,,,,,,0,15.05,0,17.85,,,,,,,
08/05/1998,,,,,,,,,,,,,,,,0,16.2,0,18.4,,,,,,,
09/05/1998,,,,,,,,,,,,,,,,0,17.75,0,19.15,,,,,,,
10/05/1998,,,,,,,,,,,,,,,,0,18.35,0,20.3,,,,,,,
11/05/1998,,,,,,,,,,,,,,,,0,20.8,0,20.9,,,,,,,
12/05/1998,,,,,,,,,,,,,,,,0,21,0,21.65,,,,,,,
13/05/1998,,,,,,,,,,,,,,,,0,21.75,0,22.45,,,,,,,
14/05/1998,,,,,,,,,,,,,,,,0,20.7,0,22.25,,,,,,,
15/05/1998,,,,,,,,,,,,,,,,0,20.6,0,22.15,,,,,,,
16/05/1998,,,,,,,,,,,,,,,,0,18.3,0,19,,,,,,,
17/05/1998,,,,,,,,,,,,,,,,0,15.65,0,17.1,,,,,,,
18/05/1998,,,,,,,,,,,,,,,,0,12.9,0,16.6,,,,,,,
19/05/1998,,,,,,,,,,,,,,,,0,14.55,0,16.7,,,,,,,
20/05/1998,,,,,,,,,,,,,,,,0,16.65,0,18.65,,,,,,,
21/05/1998,,,,,,,,,,,,,,,,0,17.1,0,18,,,,,,,
22/05/1998,,,,,,,,,,,,,,,,0,14.75,0,17.65,,,,,,,
23/05/1998,,,,,,,,,,,,,,,,0,15.3,0,19.1,,,,,,,
24/05/1998,,,,,,,,,,,,,,,,0,16,0,18.05,,,,,,,
25/05/1998,,,,,,,,,,,,,,,,0,13.65,0,18.1,,,,,,,
26/05/1998,,,,,,,,,,,,,,,,0,13.85,0,17.5,,,,,,,
27/05/1998,,,,,,,,,,,,,,,,0,14.95,0,20.1,,,,,,,
28/05/1998,,,,,,,,,,,,,,,,0,15.15,0,16.8,,,,,,,
29/05/1998,,,,,,,,,,,,,,,,0,13.45,0,18.85,,,,,,,
30/05/1998,,,,,,,,,,,,,,,,0,14.05,0,18.4,,,,,,,
31/05/1998,,,,,,,,,,,,,,,,0,15.2,0,16.95,,,,,,,
01/06/1998,,,,,,,,,,,,,,,,0,15.55,0,20.8,,,,,,,
02/06/1998,,,,,,,,,,,,,,,,0,16.9,0,20.35,,,,,,,
03/06/1998,,,,,,,,,,,,,,,,0,20.1,0,23.85,,,,,,,
04/06/1998,,,,,,,,,,,,,,,,0,22.1,0,25.9,,,,,,,
05/06/1998,,,,,,,,,,,,,,,,0,24.25,0,27.6,,,,,,,
06/06/1998,,,,,,,,,,,,,,,,0,24.95,0,26.2,,,,,,,
07/06/1998,,,,,,,,,,,,,,,,0,22.8,0,24.55,,,,,,,
08/06/1998,,,,,,,,,,,,,,,,0,18.55,0,22,,,,,,,
09/06/1998,,,,,,,,,,,,,,,,0,17.45,0,20.9,,,,,,,
10/06/1998,,,,,,,,,,,,,,,,0,19.65,0,21.55,,,,,,,
11/06/1998,,,,,,,,,,,,,,,,0,17.85,0,20.05,,,,,,,
12/06/1998,,,,,,,,,,,,,,,,0,12.6,0,15.6,,,,,,,
13/06/1998,,,,,,,,,,,,,,,,0,12.65,0,17.95,,,,,,,
14/06/1998,,,,,,,,,,,,,,,,0,14,0,16.95,,,,,,,
15/06/1998,,,,,,,,,,,,,,,,0,13.9,0,18.35,,,,,,,
16/06/1998,,,,,,,,,,,,,,,,0,13.85,0,19.7,,,,,,,
