Date,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Stia,Rainfall_Consuma,Rainfall_Incisa,Rainfall_Montevarchi,Rainfall_S_Savino,Rainfall_Laterina,Rainfall_Bibbiena,Rainfall_Camaldoli,Temperature_Firenze,Hydrometry_Nave_di_Rosano
01/01/1998,,,,,,,,,,,,,,,,1.82
02/01/1998,,,,,,,,,,,,,,,,1.94
03/01/1998,,,,,,,,,,,,,,,,2.11
04/01/1998,,,,,,,,,,,,,,,,1.84
05/01/1998,,,,,,,,,,,,,,,,1.88
06/01/1998,,,,,,,,,,,,,,,,1.79
07/01/1998,,,,,,,,,,,,,,,,1.77
08/01/1998,,,,,,,,,,,,,,,,1.83
09/01/1998,,,,,,,,,,,,,,,,1.82
10/01/1998,,,,,,,,,,,,,,,,1.63
11/01/1998,,,,,,,,,,,,,,,,1.46
12/01/1998,,,,,,,,,,,,,,,,1.59
13/01/1998,,,,,,,,,,,,,,,,1.68
14/01/1998,,,,,,,,,,,,,,,,1.71
15/01/1998,,,,,,,,,,,,,,,,1.79
16/01/1998,,,,,,,,,,,,,,,,1.81
17/01/1998,,,,,,,,,,,,,,,,1.83
18/01/1998,,,,,,,,,,,,,,,,1.63
19/01/1998,,,,,,,,,,,,,,,,2.06
20/01/1998,,,,,,,,,,,,,,,,3.04
21/01/1998,,,,,,,,,,,,,,,,2.64
22/01/1998,,,,,,,,,,,,,,,,2.23
23/01/1998,,,,,,,,,,,,,,,,2.22
24/01/1998,,,,,,,,,,,,,,,,1.72
25/01/1998,,,,,,,,,,,,,,,,1.68
26/01/1998,,,,,,,,,,,,,,,,1.77
27/01/1998,,,,,,,,,,,,,,,,1.75
28/01/1998,,,,,,,,,,,,,,,,1.75
29/01/1998,,,,,,,,,,,,,,,,1.72
30/01/1998,,,,,,,,,,,,,,,,1.68
31/01/1998,,,,,,,,,,,,,,,,1.56
01/02/1998,,,,,,,,,,,,,,,,1.45
02/02/1998,,,,,,,,,,,,,,,,1.49
03/02/1998,,,,,,,,,,,,,,,,1.66
04/02/1998,,,,,,,,,,,,,,,,1.96
05/02/1998,,,,,,,,,,,,,,,,2.06
06/02/1998,,,,,,,,,,,,,,,,1.92
07/02/1998,,,,,,,,,,,,,,,,1.86
08/02/1998,,,,,,,,,,,,,,,,1.63
09/02/1998,,,,,,,,,,,,,,,,1.65
